PAR-MAIL,RZS-CSVP
W-JJ,W-ED
WHMS,CWCB
WDATE-RESTE,WOUSW-GEWLT
TYP1,KWA8
LIBEL,RCQYP
FWENT,VPGDJ
FW209DEP,IK478ZWB
FW209DATEMIS,BM322YWJJWQO
FWDATEMAMJ,CTPENIBJWD
FW209BUD,GV509MWD
FW209ORIG,JN137RJZS
FW209MIN,FX034VZK
FW209ORD,JV185HPS
FW209GEST,AQ939BOAI
FW209TIT,EB037QUP
FW209NUMCHQ,JZ516GHKOML
FW209MONT,SI095ZZCZ
FW209LIB,XT425EHW
FWSOR,BPYJP
FWDATEMSS,JTPZSXQDL
FW209GESTSS,FQ508MXHKRK
CTOTLU,HJHCSR
W-EXER,W-UASN
FWFIL1,BSWPC7
FWFIL2,IAIBI5
CODCMC7,LLWXYN4
NUMORD,HCPFSB
NUMCHE,LCZHCY
MONCHE,ACDXCP
REMON,HJDTZ
CODMON,JHEEOX
CLECMC7,MUOSWL2
DEP,VHV
POS,POS
EDATCOMPTA,GSSIIULFQG
MDR,YVL
SIECLE,UWZGAU
SDATCOMPTA,BEUFSWWUAU
AA,AA
MM,MM
JJ,JJ
WAA-1,VLD-2
FCHET,LPNCG
FW209,AX765
FW209BID,KF895NTQ
FW209AA,UP705IC
FW209ORIG2,ND716RVLG2
FW209CTE,CZ800LYR
F209,Q965
W-CTRLUS,W-EOLOEN
W-CTRECR,W-LUUXDO
W-FIN,W-QZN
W-DEP,W-KCQ
W-DEPX,W-OYNW
W-GEST,W-ODIS
W-GESTX,W-LNVGT
W-DATEMIS,W-PYUIGES
W-ARTZERO,W-EHBKFKK
WCADRE,PXCNTS
TOTO,QFXO
BM,BM
BMDEP,EWWJU
BMDATEMIS,TXWQRRSXC
BMBID,LGOKN
BMAA,EMDM
BMMM,WWTK
BMJJ,MSQC
BMBUD,OXXKC
BMORIG,XXMUVF
BMMIN,ADBXU
BMORD,ZHJMC
BMORIG2,SNTMJG9
BMCTE,LJEUI
BMGEST,DKUZMK
BMTIT,TRFLU
BMNUMCHQ,LHSPVNEP
BMMONT,KBEUIX
BMLIB,TQOWI
FANO,TMFU
FANOBMCH,OHDATWEF
FANOLIB,PPOPCAV
FVALI,FKHUL
CTRANO,XTUYRR
ST-FVALI,CS-QPOTG
WNUM-TRAIT,KYNX-HRSSZ
ANNEE-COUR,RRELN-HRZF
CTRECR,MOSXLX
WMONTBM,ZZSVHSL
WNUMCHQ,JLLVXWI
WMONT,YHRTI
WBUD,GPLJ
WBUD-BON,AUFM-ZQZ
WAN,SBG
WAN-BIS,LHS-SNH
WAN-NOR,ZWQ-GDJ
WDEP,QXLT
WDEP-BON,PGSD-OZN
WDATMACH,MIXIFOJR
WAAMACH,OTENLMK
WAAMACHR,XXQXEPHG
WMMMACH,IRDEBAD
WJJMACH,QWDSZEM
FCHETDEP,PGUUNLQE
FCHETDATEMIS,QSSRBKDDOVEM
FCHETBID,SDIOXHWR
FCHETAA,YKDLOFQ
FCHETBUD,FDLPKWFE
FCHETORIG,PKIYQLMDV
FCHETMIN,GIVTEWMM
FCHETORD,WQHHVWSI
FCHETORIG2,BCWNIORQW4
FCHETCTE,SCNPWQLW
FCHETGEST,HEFXGTCCP
FCHETTIT,RERAWIWL
FCHETNUMCHQ,UNQZXCMOJYD
FCHETMONT,KFAQOZFPI
FCHETLIB,PWOGVMHI
WNUM-FVPNLA,MJIF-MTJODF
WNUM-FVPNL,RBXH-XGACF
WANOGL,GEIIRW
WANO,OYEG
CTRLUB,PBGWIU
CTRLUT,AMRRUW
CTRECB,NHQZUC
CTRECT,OHLKKC
WMONTBAND,JJOAOHDKE
WCHET,OIQMA
WCHETDEP,AGWETXYX
WCHETDATEMIS,UDBNKOJCDSVI
WCHETBID,AVKWBGKU
WCHETAA,GBQBBJM
WCHETBUD,EMVOMPOA
WCHETORIG,PUXKLPNFY
WCHETMIN,LCYYMARS
WCHETORD,GJSXSSNN
WCHETORIG2,VMLNMOYOE8
WCHETCTE,CNIWZGAW
WCHETGEST,NEXLZTMNX
WCHETTIT,BPXTXAVC
WCHETNUMCHQ,IRFDKYYLDGV
WCHETMONT,GPIZUGORE
WCHETLIB,JFVOIGSU
FEDI,LILR
F-SAUT,E-OMQT
F-DEST,C-IWHI
F-FEDI,I-SSQV
WW,WW
WNUM,UMKE
WDEPT,BZISQ
WDEP1,NXPD2
WDEP2,XACJ1
WPAG,EPIP
WLIG,AGGI
WNBR,AAJZ
WUN,AUX
WREDAT,RCOKZP
WEMISAA,ABZHMJY
WEMISMM,AWAJLOK
WEMISJJ,GKCHNMG
WDATEMIS,EKDAZPUX
WLIGNE,CQHCDN
WPOST,GJIBC
WPOST1,GHREY0
WPOST2,KFWFF3
WTRAIT-NUM,JQFSQK-JYK
WLIG1,OZGX3
WLIG2,CQYR4
LPAG,HTOJ
WLIG3,VTRC2
WLIG4,ADWX2
WLIG7,BGTE4
LDEP,UZHC
LJJ,MTR
LMM,YBB
LAA,AIO
LBUD,CDQL
LMIN,OUCH
LORD,YQOC
LGEST,EYLJB
LTITR,EFTAV
LNUM,UBDM
LMONT,NDCDP
LDEV,HPCZ
LLIB,FCMY
LMES,EAOS
WLIG5,SJOO2
LIB1,WWI1
LIB2,KUM6
WLIG6,OFQZ3
WLMONT,JLQAZU
WLDEV,QXYTE
WLNBR,GXGSC
WDEST,KCWGM
F-APP,Y-ZOQ
F-POSTE,P-SXQHC
F-UP,J-XZ
F-ZERO,X-NZKK
FW209MM,HV334JO
FW209JJ,KS284YF
WNUM-WOFDYA,WXUK-WQOUZU
WNUM-WOFDY,MHEU-MITYP
KHQMOUV,YLFORID
FMOUV1,DPWGO5
FMOUVPOST,OGPHDHMCZ
FMOUVDAT,KVIPUXLY
FMOUVAA,HOUXRDT
FMOUVMM,SJSDVPA
FMOUVJJ,BWWSAOJ
FMOUVEDI,MXWQAFPQ
FMOUVEDI1,BPDZNHMM5
FMOUVEDI2,FUYSSFGE9
FMOUVCT,PCIVFZX
FMOUVEMET,NAFRRVVQV
FMOUVORI,HKCOZCUK
FMOUVORDO,HTBMQYGYW
FMOUVNAT,TRTKELQD
FMOUVCHQ,NRFHDRNR
FMOUVTITRE,RDHMPTJXQO
FMOUVMONT,IDSRGFPQC
FMOUVMONT1,VHRWZDWXY0
FMOUVGEST,WZCUZWTYW
FMOUVEMIS,HHMSMUUAN
FMOUVPAIE,PIRRBUGDU
FMOUVCHQREMP,ZFEQXENDGKKV
FMOUVMAOP,IVOBUHKRV
FMOUVLIB,HYIALFHN
FMOUVDATEMI,BJKKPOCYTIP
FMOUVAAI,DASURQWW
FMOUVMMI,JPUIGJXU
FMOUVJJI,EJLAPNCR
FMOUVDATMAOP,UCXDRLKVMWBI
FMOUVAAO,VEQSWGVR
FMOUVMMO,ESHUDFZH
FMOUVJJO,CKYBMVPY
FMOUVTERM,IZDPRDGXE
FMOUVCP,HMVKVOB
FMOUVNATMVT,HGVBVLZNYCI
FMOUVNATUR,JOCJAJPDCW
FMOUVMVT,NWGTTIQF
FMOUVNUMLT,QUGHLYUKUA
FMOUVFRAIS,PQJJZGEKIS
FMOUVOPD,FSBNMQJZ
GCVUV,GCVUV
GCVLAN,GCVLAN
CTR,ZLQ
FEMIS,YRXFT
FEMAR,CISXI
FMVRG,MUPRI
WCPT,HYNI
WINDICEMIS,HXDCMQRNJU
WINDICEMAR,GHFPNWDSTR
FEMIJ,CZARS
WCPTEMIS,MBDSYKJQ
SAUVBE,OILFJO
WEDITOUZONS,EWWHUQUWRMH
WEDIFEUIL1,ERPWXHWMY5
WEDIFEUIL2,UBREZFPRK3
WEDIFEUIL3,FOOALZLXW0
WEDIDENT,KUMXWNJG
WEDIDENT1,TLFTJGCE7
WEDIDENT3,CGDZHZKC7
WEDI2,DGAN8
WEDIDENT4,YWTJGDOZ3
WEDIDENT2,EIYXFFVJ0
WEDIDENTEMET,GAEYIUWGFOQS
WEDIDENT5,VYYXYZZZ3
WEDIDENT6,BGGGNHRT4
WEDIDENT7,XPZFKZZM6
WEDISAUV,NQKFJBLJ
SAUVPOST,IRHNCVVH
SAUVCPT,ATZRLCP
WSAUVEDI,XCOBSVKP
SAUVNAT,XSKPMSQ
SAUVDAT,BXPTNXT
SAUVAA,TIZZCX
FILSAUV,TSJJIQC
SAUVEMET,TIJOGQHG
SAUVCS,QXJYSD
SAUVORIG,WANYHQPC
SAUVORD,TKJZUCG
WCTRL1,GKUPV5
WTESTEMI,YRLGDRAQ
WTESTANNU,ISJWJHCRU
WEDIGARDO1,WMCUHFGST1
STOCPOST,CNXFXQJL
STOCDAT,GDHZJGP
STOCCPT,WQMLYYU
STOCNAT,KYNJKXH
STOCEMET,ABRMFPSJ
WEDIND,WUJYJT
WEDISERV2,EKPCNRZM5
WEDIDFAN,PNFAVBRQ
WEDIMEGAL,BHRNOLWDK
WEDIFINEGAL,FHEMHXLEFXM
WEDIMDIFE,HKODBABMJ
WEDIDEBDIFE,SVXJEVTLAIL
WEDIFINDIFE,DSWDNSYYORA
WANTIK,PZEGII
MOINSUN,EXTQTLD
WEDILIGN11,PYSAATRU74
WSEDIDEST,JMGZWWHRA
WSEDIETAT,HLFTMUUCP
WETATS,HGXMMP
TITRE,GMMZO
WEDIPAG,VNAXYFZ
WEDILIGN12,KQWGUHSH53
W-POSLIGN12,W-PWPJJNK54
WEDIPOST,GXMWUGJX
WEDIDATJ1,WIULRYED3
WEDIDATM1,GKYXEIGU8
WEDIDATA1,AGVVGWUI1
WEDILIGN13,IRIUUOIM44
W-POSLIGN13,W-LOIRFIY51
WEDICT1,HIHEEG8
WEDILIGN14,OQFVWCUG96
W-POSLIGN14,W-NUWSOFN05
WEDITIR14,EUIZFTD03
WEDILIGN15,LLRZUYER34
W-POSLIGN15,W-RFDMYFI16
WEDILIGN1B,PRGDNLXG8T
W-POSLIGN1B,W-BSLBPEL9M
WEDILIGNDET1,MEEIERIYEEO3
W-POSLIGNDET1,W-ICTOZJUSTA3
WEDISERV1,YDRGNEVE6
WEDIMCSO1,YFXKLPAS6
WEDINOTI1,UHDEFRYX7
WEDINOCH1,AKLKCTAK1
WEDIMONT1,OJVTXSYH4
WEDIMONTCODMON1,OUYRSKCGEIFHQK3
WEDIGEST1,ZHJIELDT9
WEDIEMIJ1,CRADQIOS7
WEDIEMIM1,YKOGZEYK5
WEDIEMIA1,CAPXVQZQ7
WEDIOB,GDMISU
WEDILITOT1,NARCRDAHC6
W-POSLITOT1,W-AFVDAZUN4
WEDITOT1,HBSQQJU7
WEDITOTCODMON1,LRTEFNPFSOEIQ8
WEDILIBE1,IRQQYHZE2
W-POSLIBE1,W-WROOWTN8
WEDITBE1,XMDVMIU8
WEDITBECODMON1,BQOWOMTRQLJBL2
WEDILIANT1,YFXQMOYLN8
W-POSLIANT1,W-EBVUZZVG7
WEDIANT1,EHBDZLZ4
WEDIANTCODMON1,EVCBECPWFIZWF6
WEDILIGEN1,UJXLUIWHO8
W-POSLIGEN1,W-EDEYNQES0
WEDIGEN1,WYJCWAT1
WEDIGENCODMON1,WTDXYKAOZUBXM9
WEDILIGMIN1,PQONGUIALV1
W-POSLIGMIN1,W-DTNCHBETC4
WEDITOTMIN1,CRMYXVSSBH0
WEDITOTMINCODMON1,QWJCLEXPUBNZOEST7
WEDILIGEMET,QAAOLNUOWUT
W-POSLIGEMET,W-OEIHDPLOMP
WSEDIETA,AGJDQFNP
WEDISERV3,OTNEYETS8
WEDITOTEMET,QFYLNGHGAXN
WEDIZOCALC,FSEVWDEGYO
WEDICALMIN,YJOJHXQYWB
WEDICALEMET,OAHPTDDENZG
WEDICALTOT,DWVCKFMCXC
WEDICALGEN,EZIADQCMQP
WEDISAUTOT,IWRSNRXERM
FCUM,NQIK
FCUMO,DRXHL
WMAJCUMO,ZDKSPVYZ
WCRECUMO,OSWIEUKA
WMAJFCUM,HQEKZOEZ
WCREFCUM,JLBEUYVX
WEDIDCUM,KRFNUUVO
WEDICDTJ1,MQTQIFXJ1
WEDICDTM1,AXWTWFSX2
WEDICDTA1,BAOFDAPU6
WEDISOULIG1,EVUGCPKFYD7
W-POSSOULIG1,W-LCPMTHQYN8
WEDISOU1,YPUDSKI2
WEDILIG22,CKGFEWB42
W-POSLIG22,W-TYXFGI90
WEDIPOST2,QLOTCUWP4
WEDIDATJ2,FBOTUCBL6
WEDIDATM2,NRRPWJRV2
WEDIDATA2,TBKJTUHL5
WEDISOULIG2,TFOXAGYLQR0
W-POSSOULIG2,W-IJBNXWDHA7
WEDISOU2,EVTZFNU9
WEDILIG24,ZSMKGED54
W-POSLIG24,W-KJBAMT03
WEDICDTJ2,ZZSHMLTG5
WEDICDTM2,MFZYGQBO4
WEDICDTA2,SDTJCHAW0
WEDICT2,CBBVQZ0
WEDILIG31,VYJGHCZ81
W-POSLIG31,W-IPDIVR97
WEDIPOST3,PDDDRYUG1
WEDIDATJ3,HXACGIRP2
WEDIDATM3,GNUIAFYF3
WEDIDATA3,DRXXTGOI1
WEDILIG32,QUVZBXH65
W-POSLIG32,W-EADUMV03
WEDISOULIG3,VRUZGSWMPF7
W-POSSOULIG3,W-PHIXEQUUE9
WEDISOU3,HQUNZQN9
WEDICALMINANN,DVTAJOOXRFCJW
WEDICALSOV,IRGHUWJULP
WEDICALEMETANN,YSRVGJKARRAVSO
WEDIOBS,FKVLCNH
WEDIOJJ,VBZNTRK
WEDIOMM,LWRSBCV
WEDIOAA,EDBNABH
GCVRT,GCVRT
FCERTDEB,DLWQGUMF
FCERTCODE,TMLYDUQMB
FCERTPOSTE,CQEETGEATD
FCERTSERV,WLTWZWQFZ
FCERTRESERV,KVHGJDFXRSV
FCERTDATCSTS,EKGLSUJHELDQ
FCERTCDIF,IZGYXLAGI
FCERTCVAL,KARZJGCFQ
FCERTCODBEN,RKCNUZNSHBQ
FCERTANNUL,DOZUFXEQVL
FCERTSUIT,OOKCUPNSL
FCERTDATECERTIF,LFKPZTBELYPQZUK
FCERTFEUILCERTIF,YAZJRNOVGFBIZMCE
FCERTSUIT1,CGVJFGANG5
FCERTMONTANT,EIQJODZICGEJ
FCERTLIBDEV,LCWNTZRJGQJ
FCERTTXPAY,ZWQTHYGNLC
FCERTSUIT2,WTPCFUQBL0
FCERTCODDEV,ENEMADMQMUT
FCERTTXPAY2,AMRXRSESVM9
FCERTNUMEROOP,BHVQUXDSPWNNE
FCERTDATEMIS,WPSIYTITEJKI
FCERTTXEMIS,NZOLWOXQYLW
FCERTMONTDEV,KFVDZQBQKTZO
FCERTMONTANT2,WIRNFTWGSIID8
FCERTMONTPAY,TVSBYXQVPIHM
FCERTOBJET,GRBNXOHWDM
FCERTCOMPTE,ZWVEKZNMLWN
FCERTRESIDBEN,YZKHSTLIEVOCO
FCERTANCERTIF,KRRUNFEQEBAVG
FCERTANCDATCERT,JYVWUPGORWDHBSM
FCERTMONTDIF,EXMNPUQELAXA
FCERTSUIT3,GBLWMZZRW2
FCERTDATEMIS3,KMBOKGASFPCT2
FCERTRESTE,NAUQPSUHBX
FCERTNUMEROOP3,GNSCOXSVKYWOG9
FCERTMONTDEV3,AKXRVWUGJNTC9
FCERTMONTANT3,GZAVJAKDPNWA3
FCERTLIBDEV3,SUTHCIRMMER3
GCVFT,GCVFT
FDIFTCLE,DKLHTBWO
FDIFTPOSTE,AWMJZEQAYF
FDIFTSERV,TFAVHYQLZ
FDIFTDATEDIT,TGYNTCFUKTVO
FDIFTCTR,RTAXASKJ
FDIFTDATCSTS,JCVYEZJJSVGH
FDIFTSUIT,CCMCYOUMR
FDIFTP1,MBGAKT4
FDIFTP2,DGIMSB7
FDIFTBM1,HUXJXBT3
FDIFTRM1,PJWAJTE6
FDIFTPM1,WRSEWHJ6
FDIFTBM2,EWXUACC5
FDIFTRM2,AZEMIGN6
FDIFTPM2,IYRDFHJ9
FDIFTSUIT1,JUGFQRLZC5
FDIFTMONTSUP,KPSDQUBOYJJC
FDIFTMONTINF,ONOMWJFZVBJO
GCVFCHAN,GCVFCHAN
DIFCHANSEDI,JLDKCYNDGKO
DIFCHANART,XGIXOQKDJL
GCVFSUP,GCVFSUP
DIFSUPSEDI,IBXYFXPLDR
DIFSUPART,GLCRVWDPK
GCVFINF,GCVFINF
DIFINFSEDI,KTQRGZOVDR
DIFINFART,QHKFZHVDZ
WLTIT1,XFZSW8
WLJJ,JTIC
WLMM,PBXI
WLAAAA,VNTECC
WCHL3,ZGGB5
WCHL3CERTIF,AHYI6UUNEYH
WCHL3FEUIL,XEJU6IWCHL
WLTIT2,PJLAB5
WLIBTG,HPNYCQ
WCHL5,TYUH0
WCHL7,VHVY9
WCHL7LIBTG,XXDP0QJHTH
WCHL9,VXGB4
WCHL9CERTIF,CZMP0CPJWCI
WCHL9MONT,TJOS3VSJK
WCHL10,BAZL51
WCHL10LIBDEV,DNAK10XJZAVD
WCHL10TXPAY,QFHN97YNZEE
WCHL11,UJEQ44
WCHL12,XUYG53
WCHL12LIBDEV,NWGA58PIKGAO
WCHL13,UAPB98
WCHL13TXPAY,OCVL61WVPGB
WCHL21,JTEI79
WCHL21ANUL,FTEJ90GSEJ
WCHL24,TCUH72
WCHL25,KBAY91
WCHL28,ZAZZ58
WCHL28NUMOP,VWUN46MTPKI
WCHL28COMPTE,UMBS36FONRVO
WCHL28TXEMIS,KVXG39HPXJIV
WCHL28MONTDEV,XKHM83UQIBOOQ
WCHL28OBJET,DCZM67XATXP
WCHL29,IIWV76
WCHL29JJ,LAGS69NK
WCHL29MM,UAJD37TR
WCHL29AAAA,JZJP85VEMD
WCHL29TEX,IBQB48CIG
WCHL29MONTANT,WRIF44RUQWZSQ
WCHL30,UULC50
WCHL30RESDBEN,QWPK43GXUFRKL
WCHL30MONTPAY,GDHY92FTGSVMD
WCHL30MONTDIF,JHPA52TWLDYZJ
WCHL48,MZLF84
WCHL48MONTDEV,YXLS66FMOBXBH
WCHL49,ZUJX21
WCHL50,RARH17
WCHL50MONTANT,LRAZ13DWIFZXG
WCHL52,NHIL03
WCHL52MONTPAY,MJIW75XMJUIKT
WCHL52CDIF,YUDV33KWCR
WCHL52MONTDIF,VIXX65VMYBGBP
WCHL52ANNUL,TOPP40HZMZP
WCHL57,OROD29
WCHL57JJ,QNNO46DP
WCHL57MM,QCAE61WK
WCHL57AAAA,QQPB21XQAO
WCHL57FEUIL,TEJC61RUBTP
WLTG1,NUWO1
PIC,PIC
WLTJJ,ZXMDM
WLTMM,RMXTW
WLTAAAA,BRBBLDY
WLTG2,XUAM4
WLTG3,VQYW3
WLTG4,VNFC1
NOMCHEF,VDNLFDT
WSUL3,MAMY8
WSUL3CDIF,MKVT0CKLY
WSUL3FEUIL,KWVV8DNJNA
WSUL5,KVYC7
WSUL5CODBEN,HXCM6UQUSGA
WSUL8,AGQY8
WSUL9,OBJH1
WSUL11,MZRV00
WSUL11FEUIL,XVLI44BRYFU
WSUL11JJ,VUAC77UC
WSUL11MM,GEJF89LS
WSUL11AAAA,NCXE28ZKZC
WSUL11MONTANT,ZHRH68VPSDFDS
WSUL11LIBDEV,TYXT63RGLTGL
WSUL15,JKLE85
WSUL15FEUIL,SENK47AJDYA
WSUL15JJ,QIXR31DD
WSUL15MM,HJYK72LP
WSUL15AAAA,KQFB42HCGL
WSUL15MONTANT,RSRY12MKRWLZQ
WSUL15LIBDEV,VPFJ70ZVPQMX
WSUL15ANCFEUIL,EAHI70GKOFMQHC
WSUL15ANCJJ,IAJW12WQCUI
WSUL15ANCMM,EVLM33ZXUQL
WSUL15ANCAAAA,QHVJ48KEQSRLO
WSUL20,TBXL07
WSUL21,FTXT64
WSUL21JJ,SVJN79OA
WSUL21MM,HHGK58QN
WSUL21AA,SDRO49VE
WSUL21SIG1,FKYS43XOS3
WSUL21DEBIT,OZDU15TUMYQ
WSUL21SIG2,WGHL26ELY9
WSUL21CRDIT,HRHP38VHYAX
WSUL21MONT,YOHO61DHJA
WINL3,MEXW5
WINL3CDIF,WSXC8NLJE
WINL3FEUIL,WUIB5GHMDT
WINL8,LNTS1
WINL9,SOAO4
WINL11,DANF47
WINL11NUMOP,DNEG63AYKLB
WINL11JJ,DAAB40YJ
WINL11MM,ZQDX37PP
WINL11AAAA,NECF76CYXM
WINL11MONTDEV,LGKL58NFDQOCJ
WINL11MONTANT,FQIL97DQNTSMJ
WINL11ANNUL,KZJN42BXDTZ
WINL12,TXGG48
WINL12LIBDEV,XSUU38YXQIDW
WINL24,YSPV87
WINL24JJ,GHTO40IU
WINL24MM,XESO79WE
WINL24AA,EOHV91IJ
WINL24SIG1,HWII71KJY1
WINL24DEBIT,OSTW33CTXAK
WINL24SIG2,QBCF35LLR8
WINL24CRDIT,GBCD83CEJIH
WINL24MONT,FIBX85TVUY
WREFER1,XUHXNF9
WREFER1P,UZKMNC2D
WREFER3,QKMONI3
WREFER3P,RNJOCF1Y
WMONTSUP,ODIZFDGF
WMONTINF,XDNNDXOC
WMONTDEV,TVHJVAGH
WMONTANT,IPGTBARN
WMONTPAY,POJFGIJD
WMONTDIF,RSVCOXHH
WINDL57,EXUQV76
WFEUILSUP,OXPXLRKNZ
